recipename,instructions,cuisine,course_type,dietary_preference
Papa'S Rellenos-Stuffed Potatoes,"[""Cut baked potatoes in half lengthwise, and scoop out pulp, leaving shells intact; set shells aside. Mash pulp; stir in butter and milk, and set aside."", ""Stir Parmesan cheese and next 4 ingredients into Bechamel Sauce; spoon evenly into shells. Top with mashed potatoes, and place on a baking sheet. Sprinkle with Cheddar cheese."", ""Bake at 325\u00b0 for 15 to 20 minutes or until thoroughly heated.""]",latin american,side,omnivorous
Pan Roasted Cornish Hen with Blue Corn Chorizo Dressing with Cranberry Mango Relish,"[""Preheat the oven to 350 degrees F. In a medium saute pan over medium heat, melt the butter and cook the chorizo, garlic, celery, onion, carrot and poblano for 3 minutes or until lightly browned."", ""Transfer to a mixing bowl and add the cornbread, thyme, sage, cilantro, egg and stock and mix well."", ""Place in 12 by 15-inch baking pan and bake for 25 minutes."", ""In a hot skillet combine cranberries and brown sugar, cook until berries start to pop."", ""Add all other ingredients, except cilantro, and heat, (add a spoon of water if sauce appears dry)."", ""Just before serving, toss in the cilantro.""]",american,main,omnivorous
Lobster Boudan with a Fresh Lemon and Tarragon Butter Sauce,"[""In a food processor, combine the lobster meat, shallots, cream and cognac."", ""Season with salt, cayenne and pepper."", ""Turn the mixture into a mixing bowl."", ""Stir in the rice and parsley."", ""Season with salt, cayenne and black pepper."", ""**To test the seasoning of the sausage, pan-fry a small piece of the filling for a couple of minutes on each side."", ""Re-adjust the seasoning if needed."", ""Either using a feeding tube or a funnel, stuff the sausage into the casings and make 3-inch links."", ""Bring a large saucepan of salted water up to a boil."", ""Poach the sausage for about 5 minutes, or until the sausage is firm to the touch and plump."", ""Remove from the water and allow to cool."", ""In a large saute pan, over medium heat, melt the butter."", ""Pan-fry the sausage for 3 to 4 minutes on each side."", ""Remove from the pan and keep warm."", ""To serve, spoon the sauce in the center of each plate."", ""Lay a crouton in the center of the sauce."", ""Place a couple of links of sausage over each crouton."", ""Garnish with parsley and butter sauce."", ""In a saucepan, over medium heat, combine the shallots and lemon juice."", ""Season with salt and cayenne."", ""Bring the mixture to a boil."", ""Reduce the heat to medium low and simmer until the mixture reduces by half."", ""Add the cream and continue to cook for 2 minutes."", ""Remove from the heat and whisk in the butter, a couple of pieces at a time."", ""Season with the salt and cayenne."", ""Strain through a fine-mesh sieve."", ""Add the hot sauce, Worcestershire and chopped tarragon."", ""Keep hot."", ""Yield: about 2 cups""]",french,main,omnivorous
Peach Schnapps Punch Recipe,"[""Separately: Dissolve Jello in 9 c. of boiling water."", ""Dissolve sugar in another 4 c. of boiling water."", ""After both mixtures are dissolved, stir together and add in pineapple juice, lemonade, and peach Schnapps."", ""Pour into 2 ice cream pails; freeze."", ""When ready to serve, thaw 2-3 hrs and add in gingerale to your taste.""]",american,beverage,omnivorous
Curried Mango in Avocado,"[""Slice avocado in half, cutting lengthwise."", ""Carefully pull or twist halves apart, and remove seed."", ""Using sharp paring knife, cut crosshatch pattern into flesh almost to skin, and spoon out cubes, leaving 1/8-inch inside layer of avocado flesh."", ""This keeps avocado shell stable."", ""In mixing bowl, combine avocado cubes, mango cubes, crushed banana chips, curry powder, mayonnaise, lime juice and coriander leaves, stirring together gently."", ""Mound mixture into avocado halves."", ""Sprinkle each with pickled ginger slices.""]",caribbean,side,vegan
Italian Green Olive Salad,"[""INSTRUCTIONS: Rinse the olives under cold running water and drain. Gently crush each one with the side of a small cleaver. The skin and the pulp should tear, but do not break the pit."", ""Finely chop together the celery, celery leaves, anchovies and capers."", ""Place the olives in a mixing bowl; add the chopped aromatics, red pepper flakes and garlic. Add vinegar and enough oil to coat. Mix well."", ""Let stand at room temperature for about 2 hours.""]",italian,main,omnivorous
Aunt Rocky’S Almond Butter Dip/Dressing,"[""Use a 1-cup measuring cup to mix up this dressing. Makes 3/4 cup dip or dressing (serving size 2 tablespoons each)."", ""Put almond butter and hot water in a measuring cup and whisk well until almond butter is thinned. Add remaining ingredients and whisk again."", ""Pour into serving dish for use as a dip. Or drizzle over salad, stir fry dishes, or even ice cream."", ""Tip: The photo shows dipping strawberries in this sauce, which is delicious! It could also be used to dip meats or veggies."", ""Note: To help those who track foods or create recipes using this dip, this recipe has been entered into the food data base on My Fitness Pal under the name \""Aunt Rocky's Almond Butter Dip/Dressing.\"" Serving size is 2 tablespoons."", ""Nutritional information (estimates are per serving based on exact ingredients I used, calculated with a free online recipe analyzer): Calories 106, Total Fat 10 g, Saturated Fat 2 g, Sodium 33 mg, Potassium 2 mg, Total Carbohydrate 3 g, Dietary Fiber 1 g, Net Carbs 2 g, Sugars 1 g, Protein 3 g. Macros: 81% fat, 11% protein, 7% carbs."", "" April 26, 2017 Roxana Lopez for Aunt Rocky's"", ""For more low carb/keto recipes and cooking tips, look for Aunt Rocky's Low Carb Recipes Group on Facebook.""]",american,side,vegan
Squash And Onions,"[""Shred squash and onions in a frying pan."", ""Add pepper and salt. Put oil or bacon grease and cornmeal in pan."", ""Cover and stew until almost done."", ""Remove lid to finish until slightly browned.""]",american,side,vegan
Apple Nachos,"[""Top crackers with apples; place on microwaveable plate."", ""Cover with Singles pieces."", ""Microwave on HIGH 30 sec."", ""or until Singles are melted."", ""Sprinkle with cinnamon sugar.""]",american,snack,omnivorous
No Cholesterol Chocolate Cake,"[""Set oven to 350\u00b0."", ""Blend flour, soda and cocoa in a bowl."", ""Set aside."", ""In a saucepan, melt margarine over low heat and stir in sugar. Remove from heat. Add vinegar and vanilla."", ""Stir in mixture from bowl. Bake in 2 greased layer pans for 20 minutes or until toothpick inserted in middle comes out clean. Allow to cool before frosting. (Use Lite Cocoa Frosting.)""]",american,dessert,vegan
