recipeId,ingredientDescription
1,1 cup sliced red bell peppers
1,"1 red onion, sliced"
1,"1 small yellow squash, sliced"
1,"1 small zucchini, sliced"
1,1 tablespoon lemon juice
1,1/2 cup crumbled feta cheese
1,1/4 cup mayonnaise
1,1/8 cup olive oil
1,"2 (4-x6-inch) focaccia bread pieces, split horizontally"
1,"3 cloves garlic, minced"
1,bread
1,cheddar cheese
1,red onion
1,unsalted butter
2,"1 (17.5 fluid ounce) bottle buffalo wing sauce, divided"
2,1/2 (1 ounce) package dry ranch salad dressing mix
2,2 tablespoons butter
2,"4 skinless, boneless chicken breast halves"
2,"6 hoagie rolls, split lengthwise"
2,artichoke hearts
2,dill pickles
2,meatloaf
2,olives
2,red onion
2,sourdough bread
3,18 slices bread
3,4 tablespoons butter
3,9 slices cheddar cheese
3,all-purpose flour
3,extra
3,granulated sugar
3,ice cream
3,large egg yolks
3,table salt
3,unsalted butter
3,vanilla extract
4,1 (24 ounce) jar vodka marinara sauce
4,1 (8 ounce) package shredded mozzarella cheese
4,1 teaspoon dried oregano
4,1/4 cup unsalted butter
4,1/8 teaspoon garlic powder
4,12 slices white bread
4,bread
4,"cream cheese, softened"
4,jalapeno chilies
4,shredded monterey jack cheese
4,unsalted butter
5,1 tablespoon sour cream
5,1/2 cup shredded colby-monterey jack cheese
5,"10 pickled jalapeno pepper slices, or to taste - chopped"
5,2 ciabatta sandwich rolls
5,"2 ounces cream cheese, softened"
5,4 teaspoons butter
5,"8 tortilla chips, crushed"
5,beef
5,cabbage
5,chili sauce
5,cider vinegar
5,coarse salt
5,mayonnaise
5,rye bread
5,swiss cheese
5,unsalted butter
6,1 egg
6,1 slice cheddar cheese
6,1 slice ham
6,2 leftover buttermilk pancakes
6,2 tablespoons maple syrup
6,basil
6,black pepper
6,cheddar
6,cooking spray
6,garlic
6,mayonnaise
6,olive oil
6,salt
6,sourdough bread
6,zucchini
8,1 slice american cheese
8,1 slice provolone cheese
8,"1 tablespoon prepared pesto sauce, divided"
8,"1 tablespoon softened butter, divided"
8,2 slices italian bread
8,2 slices tomato
8,coarse salt
8,eggs
8,extra-virgin olive oil
8,heavy cream
8,mozzarella
8,nutmeg
8,thyme leaves
8,unsalted butter
8,white sandwich bread
9,1 (.7 ounce) package dry italian-style salad dressing mix
9,1 (5 pound) rump roast
9,1 bay leaf
9,1 teaspoon dried basil
9,1 teaspoon dried oregano
9,1 teaspoon dried parsley
9,1 teaspoon garlic powder
9,1 teaspoon ground black pepper
9,1 teaspoon onion salt
9,1 teaspoon salt
9,3 cups water
9,apples
9,ground cinnamon
9,honey
9,peanut butter
9,raisins
9,rolled oats
10,"1 egg, beaten"
10,1 tablespoon cracked black pepper
10,1/2 cup finely shredded cheddar cheese
10,"4 egg, scrambled"
10,"8 slices bacon, crisply cooked, crumbled"
10,crusty bread
10,mozzarella
10,olive oil
10,onion
10,pesto
10,tomatoes
11,4 hot dogs
11,bananas
11,cooking spray
11,peanut butter
